fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,road_dens_sum,Road%,Imp%,BD,MayNO2_mean,OctNO2_mean,Income,road distance (meters),river distance (meters),petrochem_distance,Distance_M,Lat,Long,Households
1,0,3.17E-05,0,38.56572914,0.289607033,-0.158376143,0,0,100.000836,95.04521437,6.47E-05,6.74E-05,76204,343.94,4820.69,18758.93,1237.444546,-406699.3507,179516.9367,0
2,1.103564128,3.06E-05,6.78E-21,38.39654255,0.281768847,-0.133025809,875,6.07307303,95.1980225,40.90127928,6.41E-05,6.71E-05,76204,270.69,5229.31,18903.83,1413.417913,-406491.6573,179137.443,0
3,0,2.10E-05,0,35.97037792,0.137757728,-0.041019513,0,0,100.0087433,1.70047485,6.33E-05,6.21E-05,44361,1498.47,4769.63,18684,665.0789906,-404889.9618,178153.3369,0
4,13.55526409,2.10E-05,0,35.39314508,0.535204738,0.000592215,813,5.642821149,42.80354001,34.23172682,6.39E-05,6.24E-05,44361,1855.57,5027.78,18224.59,319.9732411,-404161.2972,178209.3896,250
5,11.97973079,2.10E-05,0,34.63358331,0.274028364,-0.002564074,1677,11.63963415,49.28625049,30.66422401,6.39E-05,6.24E-05,44361,1827.18,5312.89,17899.22,100.3034834,-403900.8236,178427.157,36
6,9.612971553,2.10E-05,0,34.66169739,0.086998674,0.078408946,1284,8.911953411,66.18027708,5.649789779,6.55E-05,6.46E-05,48717.31,2026.21,4954.71,18092.41,176.2542124,-403235.4667,177766.5328,14
7,22.93335111,3.16E-05,0,32.25608671,0.631498436,0.015538681,2080,14.43746075,38.7798525,20.77467309,7.35E-05,5.92E-05,59107,963.66,621.82,17108.29,0,-394983.8695,175594.432,44
8,26.88288372,3.16E-05,0,33.30076718,0.412481957,0.061049158,1702,11.8137537,47.42160123,8.669435003,6.65E-05,6.03E-05,53821.67,381.39,457.34,16490.47,0,-394572.1506,176160.0187,2
9,39.64010001,2.91E-05,0,33.04124069,0.273865348,0.177922336,1212,8.4125024,28.26378694,4.102136071,6.78E-05,6.28E-05,24041,133.98,1933.54,14181.61,0,-396734.0808,178998.7881,76
10,0.437270095,2.10E-05,0,39.24216747,0.521383146,-0.17594348,0,0,100.0029767,75.15492999,6.68E-05,6.86E-05,35271,93.48,6186.55,15478.89,350.7567952,-402404.9546,180341.6249,0
11,25.22300767,2.10E-05,0,34.31112504,0.388609271,0.149322438,992,6.885311945,32.92039773,4.69200693,6.74E-05,6.77E-05,20712,168.97,6228.2,14386.86,0,-401155.4168,180833.2834,19
12,16.72750586,2.83E-05,1.06E-06,32.82016778,0.794596504,0.01314783,121,0.83984573,76.85629562,68.20796686,6.16E-05,6.67E-05,44718,978.83,5330.84,13083.71,0,-400113.6219,181704.4532,2
13,8.363779811,2.85E-05,3.39E-21,32.73849821,0.958763329,-0.197510392,0,0,87.62187248,63.48143581,6.29E-05,6.69E-05,34078,987.12,4666.33,13466.59,435.2048007,-399578.505,180934.9387,0
14,14.83948515,3.11E-05,0,33.54554033,0.450700373,0.244299868,0,0,18.6222351,1.124413748,6.74E-05,6.77E-05,72985,509.88,4443.81,12655.88,0,-401324.578,183015.1754,0
15,1.11051489,3.05E-05,3.39E-21,39.30712938,0.29324822,-0.138344731,0,0,98.28750847,51.46542443,6.78E-05,6.38E-05,59971,171.38,5573.98,16990.12,785.2406052,-404601.4163,180053.9746,0
16,0.66631098,2.23E-05,6.78E-21,40.04657984,0.417118021,-0.185410112,664,4.608650941,98.87083232,66.41593503,6.54E-05,6.55E-05,59971,685.42,6034.02,16770.1,1022.070348,-404013.5624,179881.692,0
17,11.84107814,3.02E-05,0,35.44581509,0.172858145,-0.00604557,3071,21.31532881,41.72834804,14.5480069,6.35E-05,6.52E-05,39607.88,246.94,2168.66,7747.37,39.03179376,-400328.9708,188826.6902,80
18,3.345507555,3.02E-05,0,38.20588756,0.457335157,-0.177205592,111,0.770438462,98.08167483,70.15848625,7.05E-05,6.67E-05,33595,251.51,3853.46,7910.7,105.284453,-399248.3759,187406.939,3
19,5.878308313,2.65E-05,0,34.28804183,0.493235461,-0.119059806,0,0,84.87111258,58.26257177,3.32E-05,5.89E-05,85722,270.44,1462.95,34649.11,778.7121224,-422752.7243,173954.9442,0
20,0,3.93E-05,2.03E-20,39.12395215,0.952072664,-0.191583165,0,0,100.0149978,99.82758685,6.25E-05,6.09E-05,38773,313.34,913.28,4259.23,496.8074711,-392301.1195,188239.1766,0
21,0,2.97E-05,3.39E-21,34.38530207,0.833066129,-0.261745228,0,0,100.0346772,80.57192153,6.71E-05,6.38E-05,NA,126.69,2137.77,6349.31,89.13795862,-394503.9532,186506.9681,0
22,0.458114502,2.91E-05,0,36.00031686,0.422265435,-0.232803426,486,3.373388608,97.29380272,80.8155629,5.53E-05,6.47E-05,26430,70.64,175.4,7361.36,290.5717019,-393053.6438,185175.2326,0
23,0,3.96E-05,0,39.89212871,0.565102167,-0.212704239,0,0,100.0073138,85.9932406,6.15E-05,6.05E-05,38538,176.45,2685.53,2445.09,157.6964975,-393448.8021,190266.7119,0
24,0,3.96E-05,0,34.91832423,0.340261741,-0.152685006,0,0,99.99424299,10.85596252,5.71E-05,5.94E-05,38802,1449.98,1839.93,0,1526.551918,-391654.7348,194202.3998,0
25,0.249878126,2.91E-05,0,35.07773256,0.44682456,-0.247246351,1524,10.57817399,92.87137006,76.77505413,6.52E-05,6.45E-05,24522.72,68.22,620.58,11460,172.9131901,-395196.3523,181391.2644,1
26,21.84352748,2.91E-05,0,36.0284164,0.49058722,-0.074215979,643,4.463103963,96.77925125,90.9556988,6.94E-05,6.38E-05,56918,283.56,234.92,12272.84,327.0078832,-395150.4215,180544.5378,11
27,17.69944447,2.95E-05,2.92E-07,33.33897722,0.996857054,0.058652828,3104,21.54473554,61.4344247,5.740172774,6.66E-05,6.70E-05,41599.39,463.75,3735.37,9936.38,0,-397628.9379,183893.0617,0
28,1.020327582,3.78E-05,0,37.34066677,0.747343883,-0.155377315,135,0.937035535,99.03424451,69.79179482,4.62E-05,5.49E-05,47728.35,78.44,2317.83,1961.59,15.98664315,-395451.8528,194898.3939,0
29,5.84430227,3.02E-05,0,34.74383521,0.204891602,-0.13074335,559,3.880005901,83.7984101,59.61604774,6.54E-05,6.73E-05,27428,310.64,4140.62,7233.29,52.376764,-396907.7986,186598.5015,163
30,9.640978976,3.02E-05,0,32.87050343,0.703489061,0.249944972,1049,7.281056117,22.99536598,0,5.82E-05,6.68E-05,38779.17,728.08,4168.85,4335.5,0,-397288.3746,190484.8593,0
31,54.81947858,2.91E-05,0,28.60582948,0.33426137,0.241877875,385,2.672258705,31.45630247,2.845781998,6.48E-05,6.51E-05,139132,1085.3,3769.67,12541.55,190.9093333,-398568.3685,181447.7704,0
32,42.73839071,2.65E-05,0,29.55701184,0.183843176,0.171753965,1126,7.814782062,22.1812109,14.36642883,3.86E-05,6.14E-05,94151,688.44,379.57,30562.51,87.68154135,-417683.0747,173987.5503,18
33,4.546226532,2.21E-05,0,34.47739005,0.262316144,-0.023877451,6058,42.04738981,67.04122453,3.553691579,5.43E-05,6.44E-05,34176.29,5.34,249.46,7428.73,83.60472259,-401194.8666,191311.2078,38
34,0,3.95E-05,6.78E-21,42.34712911,0.707935623,-0.218516614,0,0,99.99937428,95.2031247,6.39E-05,6.09E-05,39660,164.94,4358.82,2275.93,254.3034159,-395159.329,191380.7367,0
35,0.027762975,2.23E-05,6.78E-21,40.53318334,0.787857238,-0.173784619,0,0,100.0161164,96.91360396,6.54E-05,6.55E-05,59971,466.98,5752.99,16298.63,752.178238,-403851.6702,180348.9362,0
36,44.38859049,2.39E-05,2.54E-06,26.50307226,0.458788023,0.421386935,0,0,1.138168987,1.138168987,3.05E-05,5.77E-05,86211,1110.19,1789.4,37108.81,672.4987077,-426072.5003,174610.2866,0
37,46.26907719,2.03E-05,1.30E-06,31.18462372,1.714412874,0.026892862,0,0,58.7958035,22.7563078,2.69E-05,5.48E-05,70925,121.7,280.36,38979.27,371.2328356,-427614.8611,173543.2627,0
38,20.723167,2.65E-05,0,31.26272154,1.471489497,0.017051148,343,2.380457563,73.09323339,44.59714373,3.33E-05,5.66E-05,86211,273.74,2184.28,35632.67,275.1604738,-424167.925,174321.0929,0
39,9.223301464,1.95E-05,0,32.81168699,0.334681495,-0.041778141,2463,17.09329684,56.87355568,24.01250795,2.76E-05,4.55E-05,40215,169.9,164.07,39359.16,176.9071576,-427143.5201,172056.9643,49
40,37.10884031,2.92E-05,0,31.05073941,0.349492865,0.172215418,0,0,3.921169773,3.921169773,3.42E-05,5.17E-05,60868,1985.49,1313.2,31807.05,1092.171895,-423138.3673,180489.8344,0
41,9.959112202,2.92E-05,0,29.93968296,0.605832963,0.15035372,0,0,21.87534611,9.008311943,3.49E-05,5.18E-05,60868,1128.06,1304.64,30609.57,914.1075774,-422215.8439,181371.2152,0
42,22.84052716,2.75E-05,1.02E-20,33.69212961,0.45915892,0.078235017,2586,17.94761569,37.45679887,16.3166452,3.47E-05,7.42E-05,66088,608.75,3069.88,28029.09,46.63326025,-417453.6699,177939.7662,35
43,79.51676832,2.75E-05,0,28.56040466,1.008562778,0.339892697,146,1.013306116,4.608460693,3.574333218,5.08E-05,7.72E-05,55225,397.85,1779.11,22410.37,0,-412401.8649,180502.4627,5
44,0,2.71E-05,3.39E-21,35.82163548,0.226366287,0.032830898,0,0,3.456393039,3.456393039,5.41E-05,6.75E-05,52476,1116.45,3128.39,22337.72,2156.078352,-409772.459,177501.1861,0
45,5.136011736,2.75E-05,0,40.82380986,0.877880036,-0.178550387,0,0,64.852559,50.45090447,4.84E-05,6.83E-05,52476,683.98,3405.78,21907.42,2495.269799,-409501.394,177838.3737,0
46,0,2.21E-05,1.02E-20,38.43401599,0.556933994,-0.171798255,0,0,99.97679199,97.84593423,5.09E-05,6.32E-05,32262,310.75,1920.71,4213.22,720.4500912,-398263.4414,193099.4294,0
47,0,3.96E-05,0,40.92844152,1.131717167,-0.206698832,0,0,99.99444644,99.99444644,5.51E-05,6.13E-05,38773,155.3,1115.23,3044.94,508.859067,-391706.616,189511.1808,0
48,0,3.05E-05,3.39E-21,39.27575874,0.254299601,-0.208202578,0,0,100.0158699,96.10130007,6.78E-05,6.38E-05,59971,176.76,5527.54,16657.86,757.935271,-404340.9462,180271.7465,0
49,0.0277642,2.91E-05,0,39.71572804,0.511171253,-0.278271088,6501,45.12376533,99.9788826,96.09883571,7.01E-05,6.63E-05,34325,10.64,609.42,12208.89,325.1472906,-395498.9191,180695.6322,0
50,0,3.78E-05,0,40.3373282,0.729679705,-0.219410345,0,0,99.11925188,94.96845968,5.22E-05,5.83E-05,68245,394.47,899.79,2117.74,703.4328342,-391982.7146,198686.6547,0
51,0,3.38E-05,0,38.34978032,1.249810702,-0.159725022,0,0,99.34286328,99.23874485,3.77E-05,4.97E-05,48315,310.33,640.43,4832.09,238.7726286,-389171.5825,200486.057,0
52,0.034705387,3.09E-05,3.17E-07,37.64298439,0.691017528,-0.192878764,0,0,100.0209265,89.5398995,6.52E-05,6.46E-05,NA,349.09,2077.24,5478.41,359.6104426,-394190.8663,187322.1394,0
53,0,3.10E-05,0,39.3256402,0.949462704,-0.150927928,0,0,99.986357,99.986357,6.43E-05,6.47E-05,NA,386.79,1809.02,5547.1,246.3313405,-393962.0762,187181.5787,0
54,0,3.26E-05,1.36E-20,40.44809771,0.594540514,-0.2343606,0,0,100.0086023,84.32846397,5.62E-05,6.10E-05,38773,112.98,356.83,4218.58,489.7838614,-391322.7706,188393.7769,0
55,0.846745423,2.75E-05,1.36E-20,39.46807408,0.475132922,-0.242501088,12,0.083286435,98.91652275,80.82948526,4.85E-05,6.90E-05,84543,136.51,1897.67,20211.08,991.2187136,-409846.2745,180758.0729,0
56,0,3.17E-05,0,41.31623077,0.387116916,-0.168264322,0,0,100.0075991,98.73052236,6.46E-05,6.95E-05,76204,185.22,3769.84,18052.11,272.8744038,-406952.8083,180743.1748,0
57,0,3.17E-05,0,40.97848916,0.52356345,-0.186071615,0,0,99.99377704,95.27414294,6.46E-05,6.95E-05,76204,115.63,4327.19,18529.35,943.8544886,-406896.4817,180015.8859,0
58,9.800608226,3.02E-05,0,35.56199789,0.183172126,-0.049019532,2581,17.91456787,50.53004808,28.40232922,5.82E-05,6.68E-05,33633,1242.75,3728.06,4103.66,69.280481,-397474.9614,191103.3419,92
59,23.21767366,2.91E-05,0,35.30712867,0.241557172,-0.040588448,3537,24.5503473,74.21326359,36.46805901,6.13E-05,6.82E-05,42186,791.49,2415.8,9620.05,120.0985614,-396323.0924,183657.5335,127
60,0,3.96E-05,0,37.6662569,0.25436636,-0.222109845,1205,8.36411689,99.99457919,29.19458559,5.59E-05,6.10E-05,37638.25,1167.81,2033.23,0,392.5703555,-390919.542,195702.9596,0
61,12.64653424,3.15E-05,6.78E-21,35.52622223,0.216972608,-0.100797367,4304,29.87414016,71.9367074,25.45965291,5.60E-05,5.65E-05,32291,781.83,567.92,18024.86,518.2900129,-396842.4036,175035.9699,87
62,7.68298713,2.75E-05,0,36.91742063,0.599690104,-0.140270711,1478,10.25786357,80.12654599,25.81816813,3.80E-05,7.25E-05,65941.42,46.86,2317.46,26370.31,41.5882269,-415299.2685,177749.1178,1
63,32.72595156,2.10E-05,0,35.36364698,0.405985819,0.016352418,1348,9.356221146,65.8961154,25.60467345,6.01E-05,5.86E-05,79279,232.05,2969.41,20049.27,454.85704,-402281.1879,174913.6923,8
64,14.39426772,2.50E-05,2.52E-08,35.23214936,0.473535035,-0.074346671,0,0,69.86841521,27.6364388,4.31E-05,6.12E-05,50651,90.92,505.82,24250.84,29.48131587,-415724.5635,182481.873,144
65,23.35613004,2.97E-05,2.41E-07,34.94338131,0.143664784,-0.062910545,3895,27.03480728,69.15913216,29.13095922,5.92E-05,6.65E-05,50895,469.68,4876.34,11793.29,149.2556178,-399300.6617,182716.2227,78
66,13.96514573,2.10E-05,0,36.197155,0.535095425,-0.125815728,2120,14.71476588,75.37152955,41.4928634,6.48E-05,6.37E-05,57358,608.87,3430.53,15866.81,244.8373243,-398993.7637,177994.226,36
67,0.402580895,3.96E-05,0,34.60723877,0.168342889,-0.092572725,0,0,94.01652109,27.83361016,6.35E-05,6.16E-05,39660,363.24,3790.93,2420.99,64.28918085,-394603.2131,190850.0866,570
68,15.40844136,2.10E-05,0,36.45909357,0.362228746,-0.077279096,43,0.298451792,74.95998497,29.30380153,5.92E-05,6.18E-05,65187,2135.63,4207.31,18965.72,485.3412276,-404235.1612,177373.2566,3
69,28.66590066,2.91E-05,0,33.6434679,0.271584834,0.023154351,2901,20.13553942,49.90504256,24.63324006,6.16E-05,6.66E-05,67227,737.03,4916.13,12061.53,253.0422602,-399441.4258,182487.8639,55
70,1.41596019,3.78E-05,0,36.05547142,0.201004939,-0.048612789,1735,12.0426026,38.51550538,22.08620258,4.66E-05,5.48E-05,47472,939.26,1222.94,2975.58,15.8799959,-395965.7299,195907.0314,26
71,4.886295522,2.10E-05,0,33.30550265,0.144717786,-0.077457383,496,3.4426173,56.82400773,22.41865701,6.39E-05,6.24E-05,58729.23,2109.89,4949.51,18157.45,94.65699027,-403583.9734,177917.6708,470
72,1.908503069,2.25E-05,3.39E-21,30.47848547,0.436435011,0.101736492,0,0,22.24273577,22.24273577,2.75E-05,5.58E-05,70925,697.32,689.58,38527.07,1320.112,-427649.7717,174509.3831,2
73,6.593821811,2.21E-05,6.78E-21,36.62213469,0.853517719,-0.063675312,3526,24.47349022,54.60378546,22.59945665,5.39E-05,6.44E-05,39551.36,353.78,1678.07,5644.16,84.60465091,-399466.92,191760.7249,68
74,11.11896279,2.24E-05,0,34.56202483,0.400835621,-0.057257432,1802,12.50709797,47.38399436,24.52140795,4.94E-05,5.33E-05,50059,78.47,402.54,23095.61,265.318696,-406357.669,173829.025,52
75,37.75096097,2.10E-05,0,33.12112594,0.134531641,0.085357152,1315,9.127139857,33.62119047,19.68408261,5.71E-05,5.84E-05,79279,964.44,2886.22,20009.41,191.2909181,-402967.6936,175335.3831,47
76,14.11806734,2.91E-05,0,34.99981952,0.529294705,-0.058744052,1063,7.378321329,68.09156372,20.10124042,6.66E-05,6.65E-05,19783.22,332.06,1263.84,11334.39,21.20174865,-395773.6586,181682.9134,318
77,7.274157962,3.02E-05,0,35.18818784,0.166569439,-0.055086841,2157,14.97171634,54.45901085,24.55028312,6.66E-05,6.61E-05,37139,586.74,4939.04,4422,165.9201519,-396285.2555,189553.5671,110
78,25.92398375,3.11E-05,0,34.38745403,0.226547635,0.032797614,2072,14.38139072,43.55368086,21.51655947,6.74E-05,6.77E-05,84414.72,174.73,4219.35,12345.58,183.1986327,-401292.9306,183373.5519,21
79,22.39794576,2.10E-05,0,34.6338253,0.086064907,0.016836822,2935,20.37123359,47.18352503,22.1966627,7.01E-05,6.60E-05,88371,791.57,6171.91,16857.23,9.400823292,-402542.0974,178788.7581,22
80,20.04575194,2.91E-05,0,34.15154719,0.392467524,0.007755647,2682,18.61589568,99.98582298,22.31547524,6.54E-05,6.52E-05,45600.18,303.93,2083.18,7386.66,123.289345,-395066.9162,185593.4413,139
81,66.45358716,2.70E-05,6.78E-21,29.96750498,0.400546573,0.276036327,131,0.909182237,47.60367147,7.669056273,3.50E-05,6.87E-05,52307,616.85,1681.17,28968.58,207.8242307,-416936.5109,175606.7567,12
82,15.73482198,2.10E-05,0,33.83370614,0.189961198,0.138133997,1181,8.197099583,45.06669567,8.634370771,5.85E-05,5.85E-05,79279,493.68,3091.14,19874.83,371.2936952,-402379.7862,175163.1362,0
