fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,Road%,Imp%,BD,CTUID,Density,Borough,Income,road distance (meters),river distance (meters),nearest_L,nearest_M,petrochem_distance,Distance_M,GS%,Lat,Long,Imp2,Man_GS
165,8.94,2.21E-05,0.00E+00,37.32,0.72,-0.11,30.06,97.63,35.27,4620610.05/4620610.06,11441.2,Montréal-Nord,34865.21,793.45,1327.93,15,15,4652.56,464.3466152,0.92473042,-398710.4022,193500.1016,62.36,715.67
166,13.82,2.10E-05,2.92E-08,35.08,0.51,-0.06,12.24,56.41,29.72,4620392,3472.5,Lachine,32239,985.67,171.85,20,20,22850.57,84.71663057,9.389046231,-405421.214,173505.6082,26.69,181.25
167,23.22,2.91E-05,0.00E+00,35.31,0.24,-0.04,24.55,74.21,36.47,4620147,16353.4,Le Plateau-Mont-Royal,42186,791.49,2415.8,5,5,9620.05,120.0985614,8.731483313,-396323.0924,183657.5335,37.74,226.95
168,5.58,3.02E-05,0.00E+00,37.3,0.17,-0.06,15.08,98.74,31.42,4620220,13808,Villeray-Saint-Michel-Parc-Extension,25603,38.75,4860.07,10,10,11293.69,155.1490315,1.222741983,-400163.1343,183875.8134,67.32,618.55
169,1.72,3.96E-05,0.00E+00,35.2,1.03,-0.2,0,99.99,34.75,4620570,314.5,Montréal-Est,38802,2562.95,995.44,20,15,438.18,535.4114803,0,-391432.7404,192617.5311,65.24,1119.12
170,0.82,2.65E-05,0.00E+00,35.9,0.79,-0.25,0.19,98.03,33.45,4620460,1492.1,Beaconsfield,94151,97.8,404.12,20,20,31092.46,339.5259604,0,-418619.4942,174311.1834,64.58,714.17
171,16.44,3.17E-05,0.00E+00,34.87,0.18,-0.03,16.12,62.05,31.44,4620269/4620280,5358.1,Ahuntsic-Cartierville,37474.5,508.75,1214.51,5,5,12736.12,134.2589905,6.372525578,-403788.5347,185158.9482,30.61,252.95
172,6.5,2.21E-05,0.00E+00,36.14,0.59,-0.1,21.29,70.03,34.36,4620610.04/4620610.07,18673.5,Montréal-Nord,29574.42,953.46,729.68,20,15,5124.14,0,1.836861518,-399157.3568,193900.7806,35.67,439.32
173,3.77,2.82E-05,0.00E+00,37.09,0.12,-0.17,19.35,94.68,29.28,4620324.02/4620324.01,4178.7,LaSalle,36097.47,777.42,714.37,15,15,22728.28,208.4552764,4.710230576,-402185.7386,171896.0518,65.4,771.7
174,5.43,2.23E-05,6.78E-21,38.01,0.67,-0.1,8.5,96.34,32.18,4620402,691.6,Mont-Royal,59971,231.72,5942.61,15,10,16111.17,435.1922314,0,-403492.6286,180317.2417,64.16,687.95
175,10.68,2.75E-05,0.00E+00,35.75,0.67,-0.07,10.48,64.99,31.21,4620433,233,Dorval,52476,685.15,2983.3,25,25,23949.09,1300.695072,0,-412820.9308,178492.9677,33.78,1745.18
176,23.36,2.97E-05,2.41E-07,34.94,0.14,-0.06,27.03,69.16,29.13,4620365,12414.3,Outremont,50895,469.68,4876.34,10,5,11793.29,149.2556178,3.640741105,-399300.6617,182716.2227,40.03,274.88
177,2.05,2.65E-05,0.00E+00,34.89,0.56,-0.02,8.95,44.33,29.71,4620470.04,2312.7,Kirkland,78071,198.41,2525.06,20,20,31461.34,413.2774995,0,-420386.4645,176152.925,14.62,667.76
178,15.41,2.10E-05,0.00E+00,36.46,0.36,-0.08,0.3,74.96,29.3,4620383.01,5327.6,Côte-Saint-Luc,65187,2135.63,4207.31,15,15,18965.72,485.3412276,1.98E-07,-404235.1612,177373.2566,45.66,683.71
179,0,3.96E-05,0.00E+00,39.46,0.95,-0.22,0,100.01,94.64,4620570,314.5,Montréal-Est,38802,2440.68,802.56,15,15,397.03,1273.330523,0,-390588.4349,193988.0311,5.37,1556.05
180,0,2.78E-05,6.78E-21,39.17,0.33,-0.22,0,90.94,90.94,4620433,233,Dorval,52476,327.47,3676.32,25,25,21247.86,2395.628939,0,-408871.2721,178143.8371,0,3533.49
181,1.07,2.24E-05,1.36E-06,42.3,1.66,-0.19,0,99.97,89.27,4620326.01,1111.1,LaSalle,39102,1142.64,2724.64,20,20,19923.53,677.6069656,0,-400647.6779,174288.1157,10.7,1332.04
182,0.35,2.65E-05,0.00E+00,35.46,1.18,-0.23,0,98.98,94.22,4620480,633.9,Baie-d'Urfé,85722,496.46,1690.86,20,20,34498.16,640.030983,0,-422731.5474,174193.8217,4.76,3534.27
183,0,3.17E-05,0.00E+00,40.35,1.72,-0.22,0,99.99,93.02,4620415.06,427.7,Saint-Laurent,76204,244.86,2615.38,15,15,16392.26,583.7610892,0.936635373,-406315.7056,182492.7193,6.97,1116.63
184,0.12,3.02E-05,0.00E+00,31.85,0.28,0.07,0,99.98,91.22,4620014.02,0,Mercier-Hochelaga-Maisonneuve,NA,156.06,2221.82,10,10,5762.29,118.7121601,19.65904294,-394451.2675,187104.2996,8.76,442.08
185,0,3.95E-05,2.03E-20,39.34,0.65,-0.2,0,99.95,89.94,4620585.02,4025.1,Rivière-des-Prairies-Pointes-aux-Trembles,37647,443.64,2572.17,10,10,205.75,808.7472991,0,-391345.4406,196342.5606,10.01,1690.6
186,0,3.02E-05,6.78E-21,43.6,1.06,-0.23,0,100.04,93.8,4620266,4456.4,Ahuntsic-Cartierville,33083,230.3,2694.44,10,10,11013.64,225.8055466,1.563815294,-401711.9338,185457.2025,6.24,564.49
187,0.09,2.10E-05,1.36E-20,41.69,1.16,-0.2,0,100.01,95.06,4620415.06,427.7,Saint-Laurent,76204,440.67,4572.81,15,15,19453,1904.459312,0,-406326.1877,178280.1567,4.95,10059.44
188,0,3.10E-05,0.00E+00,39.33,0.95,-0.15,0,99.99,99.99,4620014.02,0,Mercier-Hochelaga-Maisonneuve,NA,386.79,1809.02,10,10,5547.1,246.3313405,0.46706373,-393962.0762,187181.5787,0,346.09
189,0,2.75E-05,1.69E-20,41.6,0.73,-0.23,0,99.68,98.52,4620327,4342.3,LaSalle,35030,268.53,743.69,15,15,22549.84,225.9534202,1.175781676,-402632.8938,172296.596,1.16,289.63
190,0.58,2.10E-05,0.00E+00,42.18,1.27,-0.2,0,100,93.24,4620326.03,3771.4,LaSalle,41280,752.05,2661.42,20,20,20612.96,231.1061837,0.513331273,-401756.5447,174024.8112,6.76,1823.77
191,0.39,3.01E-05,6.78E-21,39.31,0.5,-0.16,4.13,99.83,64.97,4620179,7668.7,Rosemont-La-Petite-Patrie,29683,1135.78,3504.94,10,5,8644.58,138.1086819,2.772593901,-397044.8408,185045.4659,34.86,338.53
192,0,3.96E-05,0.00E+00,38.89,0.86,-0.21,0,99.98,65.64,4620570,314.5,Montréal-Est,38802,2708.45,536.73,20,20,488.69,1390.617456,0,-390359.6712,193847.467,34.34,1810.03
193,0.27,3.17E-05,0.00E+00,39.54,1.57,-0.23,0,99.87,66.65,4620404,3521.1,Mont-Royal,90875,145.11,3337.06,10,10,12500.44,17.49596593,1.900765969,-402098.9924,183805.8629,33.22,0.44
194,2.9,3.95E-05,6.78E-21,36.63,0.34,-0.15,0,98.6,65.54,4620594.02,938.3,Anjou,47581,928.88,3307.79,20,20,1176.21,547.9754408,0,-395187.7952,193791.402,33.06,1604.4
195,3.78,2.21E-05,0.00E+00,38.57,1.8,-0.11,0,84.89,66.86,4620610.07,7815.7,Montréal-Nord,23885,684.51,234.53,25,15,5273.23,114.9215223,1.520753717,-399224.2517,194508.748,18.03,763.51
196,1.06,2.11E-05,6.78E-21,39.04,0.5,-0.16,0,96.25,66.74,4620094.02/4620084,2.7,Le Sud-Ouest,30262.21,36.16,2872.11,15,15,17006.59,183.3112229,0.435680022,-398630.9677,176638.0995,29.51,447.98
197,0,2.23E-05,6.78E-21,39.67,0.33,-0.18,0,99.12,65.65,4620395.01,357.4,Lachine,23621,192.4,3271.5,NA,NA,20925.61,2569.221397,0,-407607.5161,177430.2873,33.47,9012.41
198,0.33,2.92E-05,6.78E-21,39.85,0.42,-0.19,0,96.27,69.2,4620415.05,427.7,Saint-Laurent,84543,346.32,861.31,10,10,19323.37,206.7236883,4.551452053,-409730.0527,182072.0765,27.07,173.35
199,6.91,2.08E-05,2.37E-06,33.67,0.55,-0.18,0,100.01,68.89,4620491/4620480,257.9,Baie-d'Urfé,85915.56,180.47,1518.79,20,20,37031.86,738.9918127,0,-425111.7435,173200.9725,31.12,7380.19
200,0.42,3.93E-05,2.03E-20,37.44,0.45,-0.16,0,100,65.3,4620009,813.8,Mercier-Hochelaga-Maisonneuve,38773,212.63,596.36,25,10,4423.72,538.318245,0,-391952.6699,188088.0788,34.7,1365.79
201,2.29,3.17E-05,0.00E+00,39.43,0.93,-0.17,5.07,99.93,68.91,4620268.03,0,Ahuntsic-Cartierville,NA,88.76,2901.75,NA,NA,12686.12,357.7727581,0,-402567.1316,183967.5759,31.02,1114.62
202,3.03,3.02E-05,0.00E+00,39.69,0.67,-0.17,14.85,94.34,62.81,4620605.03,5735.5,Saint-Léonard,33633,1361.26,3586.37,15,15,3888.8,242.1158278,0.942828034,-397443.3238,191461.7684,31.53,429.78
203,8.54,2.92E-05,6.78E-21,38.94,0.44,-0.15,0,81.59,61.2,4620415.05,427.7,Saint-Laurent,84543,216.29,1449.74,20,20,19713.11,461.1863088,0,-409673.7671,181344.7653,20.39,587.03
204,0.02,3.17E-05,0.00E+00,38.66,0.37,-0.18,11.07,100.01,61.45,4620269,5358.1,Ahuntsic-Cartierville,36187,502.63,1650.45,5,5,12320.52,103.4768788,6.695965854,-403190.1826,185106.1176,38.56,229.04
205,0,2.44E-05,3.39E-21,40.97,0.7,-0.21,0,99.96,64.66,4620610.01,4856.5,Montréal-Nord,32262,116.15,1690.4,15,15,5255.7,292.2482358,0.010078803,-399185.4096,192217.5133,35.3,424.44
206,3.39,2.91E-05,0.00E+00,38.46,0.42,-0.2,14.03,95.84,61.95,4620070,NA,Le Sud-Ouest,48209,198.2,946.62,30,5,13411.58,212.2180668,2.148627989,-395723.9533,179511.6547,33.89,395.67
207,0.09,2.65E-05,0.00E+00,36.16,0.52,-0.13,0,99.99,63.14,4620480,633.9,Baie-d'Urfé,85722,203.41,1298.99,25,25,35604.6,266.5064813,0.553864154,-423632.9752,173551.4286,36.85,8306.64
208,4.39,2.82E-05,0.00E+00,39.84,0.71,-0.18,0.07,87.96,59.66,4620325.06,5458.7,LaSalle,42456,663.78,1259.05,15,15,20409.89,125.7692896,18.29465363,-399524.5333,173346.4923,28.3,150.25
209,4.71,2.49E-05,0.00E+00,38.83,0.9,-0.16,0,88.27,61.35,4620513.02,3387.8,Pierrefonds-Roxborro,37567,361.5,519.29,10,10,26975.02,496.6349688,0.429028918,-418026.9459,181000.1906,26.92,743.49
210,0.01,3.95E-05,1.36E-20,38.41,0.51,-0.18,4.73,99.07,62.74,4620594.02,938.3,Anjou,47581,1000.43,3460.07,20,20,1160.33,786.7554923,0,-395208.8805,193552.4413,36.33,1618.94
211,0.75,3.02E-05,0.00E+00,40.23,0.54,-0.21,7.88,99.96,78.85,4620216,6898.4,Rosemont-La-Petite-Patrie,34861,222.87,4634.19,10,10,10558.77,121.8764205,2.595065892,-398607.3973,183738.5744,21.11,860.61
212,2.38,3.17E-05,6.78E-21,38.32,0.71,-0.19,2.28,100,79.44,4620267,5626.7,Ahuntsic-Cartierville,38918,832.8,2116.1,10,10,11829.98,294.7230574,0.001145315,-402581.2778,185172.7562,20.56,411.49
213,0.48,2.10E-05,0.00E+00,37.7,0.64,-0.21,0,100,75.3,4620119,11013.2,Côte-des-Neiges-Nôtre-Dame-de-Grâce,29893,182.78,6105.36,10,10,14721.95,235.6506386,0.960691813,-401644.6805,180756.07,24.7,545.55
214,0,3.10E-05,0.00E+00,40.14,0.88,-0.2,0,100.01,75.12,4620014.02,0,Mercier-Hochelaga-Maisonneuve,NA,120.36,1540.9,10,10,5624.3,97.12055137,3.53516344,-393733.2851,187041.0194,24.89,290.47
215,0.26,3.43E-05,2.03E-20,40.64,0.39,-0.23,0,100.01,76.33,4620593.01,4880.1,Anjou,39660,402.16,4246.47,10,10,2434.07,379.9793792,0,-395060.7557,191131.2354,23.68,681.67
216,0.06,2.21E-05,4.69E-09,37.84,0.51,-0.18,0.22,99.96,78.39,4620610.06,8144.7,Montréal-Nord,38684,644.99,1581.22,15,15,4422.25,517.6267288,0.149807774,-398481.648,193359.5044,21.57,890.79
217,0,3.17E-05,0.00E+00,39.31,0.87,-0.2,0,100,75.62,4620415.06,427.7,Saint-Laurent,76204,653.63,3303.4,10,10,18617.67,496.2265306,0,-407681.4526,180687.1585,24.38,649.68
218,0.26,3.17E-05,1.36E-20,36.63,0.1,-0.18,0.06,100,77.81,4620402,691.6,Mont-Royal,59971,85.43,5419.83,20,10,15828.58,586.9732443,0,-403689.7793,180816.1845,22.19,732.18
219,0,2.11E-05,6.78E-21,37.16,1.17,-0.18,0,99.98,79.54,4620093,4409.7,Le Sud-Ouest,36328,594.27,3052.11,15,15,18153.07,7.363545544,28.47814479,-399553.1074,175756.4187,20.44,72.29
220,0.46,2.75E-05,0.00E+00,38.05,0.39,-0.22,0,97.51,78.3,4620453.02,744,Pointe-Claire,66088,233.89,2633.71,20,20,26133.77,401.3315281,0,-415267.5433,178107.4599,19.21,438.61
221,3.68,2.46E-05,3.39E-21,38.82,1.08,-0.1,4.73,92.9,74.69,4620290.05/4620290.01,2296.7,Rivière-des-Prairies-Pointes-aux-Trembles,45953.4,84,2266.65,20,15,3215.15,269.3691889,0.151411371,-397274.5827,193373.4134,18.21,503.79
222,1.13,2.75E-05,0.00E+00,37.89,0.71,-0.2,1.84,78.87,74.84,4620521.06,2407.1,Dollard-des-Ormeaux,68640,694.28,2921.03,20,20,24973.99,36.4666387,14.00292334,-414999.8025,179769.1628,4.03,968.42
223,0.7,3.02E-05,0.00E+00,34.53,0.12,-0.19,0,99.05,73.07,4620229,0,Villeray-Saint-Michel-Parc-Extension,NA,467.79,4432.63,5,5,11256.88,0,34.25255684,-400501.0549,184146.4113,25.98,0
224,2.42,2.65E-05,0.00E+00,35.9,0.68,-0.15,0,79.48,71.14,4620470.01,2037.6,Kirkland,69796,108.48,2465.95,20,20,31160.63,426.6171958,0,-419918.2744,175991.0848,8.34,1043.75
225,3.14,2.12E-05,1.02E-20,35.22,0.47,-0.1,5.32,87.87,70.26,4620123,15226.6,Côte-des-Neiges-Nôtre-Dame-de-Grâce,25907,320.68,5750.1,10,10,14262.67,366.212629,0,-400687.2481,180671.5934,17.61,446.32
226,0.4,2.91E-05,0.00E+00,36.69,0.41,-0.2,12.77,95.15,74.09,4620171,9805.3,Le Plateau-Mont-Royal,34688,229.4,4093.04,10,5,10677.2,27.50526828,6.718909123,-398160.3377,183337.9774,21.06,60.21
227,0.33,2.92E-05,6.78E-21,39.85,0.42,-0.19,0,96.27,69.2,4620415.05,427.7,Saint-Laurent,84543,346.32,861.31,10,10,19323.37,206.7236883,4.551452053,-409730.0527,182072.0765,27.07,154.49
228,0.65,2.10E-05,6.78E-21,40.52,0.72,-0.16,8.89,91.18,71.3,4620326.02,3117.3,LaSalle,38617,386.17,1302.64,15,15,21919.43,300.2610323,0,-402689.3151,173023.7776,19.88,474.26
229,0.03,2.25E-05,0.00E+00,41.26,0.77,-0.3,0,100.02,71.88,4620431,2443.9,Dorval,49983,220.98,726.22,20,20,24471.28,420.2260689,0.4384237,-410233.6672,175014.013,28.14,720.46
230,0.1,2.65E-05,6.78E-21,34.47,0.3,-0.19,0.07,93.62,70.58,4620491,257.9,Saint-Anne-de-Bellevue,86211,610.73,2388.1,20,20,35679.54,153.9026608,1.881258731,-424386.1371,174581.1873,23.04,218.88
231,4.07,3.02E-05,0.00E+00,37.02,0.42,-0.21,6.27,96.37,73.98,4620602.02,10449.2,Saint-Léonard,37809,372.14,5166.15,5,5,6248.24,40.1591555,9.433779468,-397379.6037,188084.877,22.39,74.15
232,0,2.66E-05,1.02E-20,37.66,0.42,-0.23,0,100,86.63,4620452,2306.8,Pointe-Claire,52307,177.28,2773.84,20,20,28269.3,209.804309,1.109108519,-417059.5409,176941.8232,13.37,453.02
233,0.01,2.10E-05,0.00E+00,39.41,0.62,-0.21,2.41,99.61,86.71,4620330,2546,Lachine,37915,93.14,2570.13,20,10,20493.11,40.00142822,0.688564278,-402323.373,174435.9278,12.9,1134.61
234,1.07,2.24E-05,1.36E-06,42.3,1.66,-0.19,0,99.97,89.27,4620326.01,1111.1,LaSalle,39102,1142.64,2724.64,20,20,19923.53,677.6069656,0,-400647.6779,174288.1157,10.7,3211.6
235,0,2.21E-05,0.00E+00,37.87,0.89,-0.2,0,100,86.05,4620610.07,7815.7,Montréal-Nord,23885,616.63,742.48,25,15,4887.69,255.6060351,0.276021732,-398896.954,194118.6232,13.95,554.3
236,1.85,3.02E-05,6.78E-21,37.76,0.6,-0.19,0.04,99.42,87.95,4620225,2150.5,Villeray-Saint-Michel-Parc-Extension,38907,477.77,3788.11,5,5,11366.03,26.54471705,28.01765925,-401078.3148,184438.1337,11.47,38.35
237,0,2.75E-05,0.00E+00,38.22,0.82,-0.28,0,100,81.31,4620453.02,744,Pointe-Claire,66088,186.61,2646.19,20,20,26394.12,314.863714,0,-415517.4952,178009.1913,18.69,445.76
238,2.38,3.17E-05,6.78E-21,38.32,0.71,-0.19,2.28,100,79.44,4620267,5626.7,Ahuntsic-Cartierville,38918,832.8,2116.1,10,10,11829.98,294.7230574,0.001145315,-402581.2778,185172.7562,20.56,365.26
239,0.4,2.37E-05,0.00E+00,40.1,0.35,-0.21,0,100.02,84.55,4620326.01,1111.1,LaSalle,39102,1021.05,2679.34,15,15,19473.35,488.7710633,0,-400256.9749,174614.7705,15.47,862.36
240,0,2.91E-05,0.00E+00,34.89,0.62,-0.22,1.9,90.23,84.38,4620056/4620061,5381.4,Ville-Marie,46569.38,88.31,1153.91,10,10,11945.89,343.5015802,1.512514158,-395946.0189,181096.1861,5.85,550.18
241,0.15,2.75E-05,0.00E+00,39.31,0.81,-0.23,0,96.48,84.74,4620433,233,Dorval,52476,188.48,2498.47,15,15,22880.68,532.4961298,0,-412465.2872,179785.7501,11.74,2235.29
242,0.03,3.02E-05,0.00E+00,37.67,1.48,-0.19,0,99.05,81.83,4620604.04,4562.6,Saint-Léonard,47867,796.11,2012.66,30,30,6419.43,734.3160823,0.025196997,-399713.1782,190337.5849,17.22,2863.16
243,0.73,2.10E-05,0.00E+00,38.88,0.81,-0.2,0,82.73,82.73,4620395.01,357.4,Lachine,23621,495.08,1124.13,20,20,21949.14,245.778491,1.353302295,-405217.1024,174450.5589,0,297.33
244,1.36,3.96E-05,0.00E+00,36.86,0.62,-0.12,0,100,80.02,4620570,314.5,Montréal-Est,38802,296.11,3811.99,10,10,277.7,744.6468556,0,-393818.9448,194272.7556,19.98,3549.59
245,0.42,2.25E-05,3.39E-21,31.85,0.87,-0.17,0,94,80.25,4620500,122.4,Senneville,70925,217.88,488.32,20,20,38800.03,859.3248011,0,-427692.167,174031.6284,13.75,1471.71
246,0,2.11E-05,6.78E-21,37.16,1.17,-0.18,0,99.98,79.54,4620093,4409.7,Le Sud-Ouest,36328,594.27,3052.11,15,15,18153.07,7.363545544,28.47814479,-399553.1074,175756.4187,20.44,76.51
247,2.14,2.91E-05,0.00E+00,35.51,0.52,-0.23,7.5,97.8,86.14,4620062,3006,Ville-Marie,39946,297.49,1421.18,15,10,12606.46,257.5363231,1.057591376,-396357.7366,180530.5627,11.66,488.58
248,0,3.17E-05,0.00E+00,39.21,0.74,-0.18,0,99.6,82.47,4620415.06,427.7,Saint-Laurent,76204,393.47,3561.4,15,15,18547.91,734.8954367,0,-407452.6512,180546.5585,17.13,1069.48
249,2.14,2.23E-05,6.78E-21,38.73,1.21,-0.18,3.65,97.7,82.32,4620402,691.6,Mont-Royal,59971,672.23,6268.74,15,10,16585.34,867.0936889,0,-403654.5177,179849.9969,15.38,1186.68
